Some species have been updated or deleted since 2011.  Double check this list for 2015.

Family: Petromyzontidae
Ichthyomyzon bdellium	Ohio lamprey
Ichthyomyzon castaneus	chestnut lamprey
Ichthyomyzon gagei	southern brook lamprey
Ichthyomyzon greeleyi	mountain brook lamprey
Lampetra aepyptera	least brook lamprey
Lampetra appendix	American brook lamprey
Petromyzon marinus	sea lamprey

Family: Acipenseridae
Acipenser brevirostrum	shortnose sturgeon
Acipenser fulvescens	lake sturgeon
Acipenser oxyrinchus desotoi	Gulf sturgeon
Acipenser oxyrinchus oxyrinchus	Atlantic sturgeon

Family: Polyodontidae
Polyodon spathula	paddlefish

Family: Lepisosteidae
Lepisosteus oculatus	spotted gar
Lepisosteus osseus	longnose gar
Lepisosteus platyrhincus	Florida gar

Family: Amiidae
Amia calva	bowfin

Family: Hiodontidae
Hiodon tergisus	mooneye

Family: Anguillidae
Anguilla rostrata	American eel

Family: Clupeidae
Alosa aestivalis	blueback herring
Alosa alabamae	Alabama shad
Alosa chrysochloris	skipjack herring
Alosa mediocris	hickory shad
Alosa pseudoharengus	alewife
Alosa sapidissima	American shad
Brevoortia smithi	yellowfin menhaden
Brevoortia tyrannus	Atlantic menhaden
Dorosoma cepedianum	gizzard shad
Dorosoma petenense	threadfin shad
Opisthonema oglinum	Atlantic thread herring

Family: Cyprinidae
Campostoma anomalum	central stoneroller
Campostoma oligolepis	largescale stoneroller
Campostoma pauciradii	bluefin stoneroller
Carassius auratus	goldfish
Clinostomus funduloides	rosyside dace
Ctenopharyngodon idella	grass carp
Cyprinella caerulea	blue shiner
Cyprinella callisema	Ocmulgee shiner
Cyprinella callistia	Alabama shiner
Cyprinella callitaenia	bluestripe shiner
Cyprinella galactura	whitetail shiner
Cyprinella gibbsi	Tallapoosa shiner
Cyprinella leedsi	bannerfin shiner
Cyprinella lutrensis	red shiner
Cyprinella nivea	whitefin shiner
Cyprinella pyrrhomelas	fireyblack shiner
Cyprinella spiloptera	spotfin shiner
Cyprinella trichroistia	tricolor shiner
Cyprinella venusta	blacktail shiner
Cyprinella whipplei	steelcolor shiner
Cyprinella xaenura	Altamaha shiner
Cyprinus carpio	common carp
Erimonax monachus	spotfin chub
Erimystax insignis	blotched chub
Hemitremia flammea	flame chub
Hybognathus regius	eastern silvery minnow
Hybopsis amblops	bigeye chub
Hybopsis lineapunctata	lined chub
Hybopsis rubrifrons	rosyface chub
Hybopsis sp. cf. H. winchelli	Etowah chub
