0,Blank,Blank
1,Ichthyomyzon bdellium,Ohio Lamprey
2,Ichthyomyzon fossor,Northern Brook Lamprey
3,Ichthyomyzon greeleyi,Mountain Brook Lamprey
4,Ichthyomyzon unicuspis,Silver Lamprey
5,Lethenteron appendix,American Brook Lamprey
6,Petromyzon marinus,Sea Lamprey
7,Acipenser brevirostrum,Shortnose Sturgeon
8,Acipenser fulvescens,Lake Sturgeon
9,Acipenser oxyrinchus,Atlantic Sturgeon
10,Polyodon spathula,Paddlefish
12,Lepisosteus osseus,Longnose Gar
13,Amia calva,Bowfin
14,Hiodon tergisus,Mooneye
15,Anguilla rostrata,American Eel
16,Anchoa mitchilli,Bay Anchovy
17,Alosa aestivalis,Blueback Herring
18,Alosa mediocris,Hickory Shad
19,Alosa pseudoharengus,Alewife
20,Alosa sapidissima,American Shad
21,Dorosoma cepedianum,Gizzard Shad
22,Campostoma anomalum,Central Stoneroller
23,Chrosomus eos,Northern Redbelly Dace
24,Chrosomus neogaeus,Finescale Dace
25,Clinostomus elongatus,Redside Dace
26,Couesius plumbeus,Lake Chub
27,Cyprinella analostana,Satinfin Shiner
28,Cyprinella spiloptera,Spotfin Shiner
29,Erimystax dissimilis,Streamline Chub
30,Erimystax x-punctatus,Gravel Chub
31,Exoglossum laurae,Tonguetied Minnow
32,Exoglossum maxillingua,Cutlip Minnow
33,Hybognathus hankinsoni,Brassy Minnow
34,Hybognathus regis,Eastern Silvery Minnow
35,Hybopsis amblops,Bigeye Chub
36,Luxilus chrysocephalus,Striped Shiner
37,Luxilus cornutus,Common Shiner
38,Lythrurus umbratilis,Redfin Shiner
39,Macrhybopsis storeriana,Silver Chub
40,Margariscus margarita,Allegheny Pearl Dace
41,Margariscus nachtreibi,Northern Pearl Dace
42,Nocomis biguttatus,Hornyhead Chub
43,Nocomis micropogon,River Chub
44,Notemigonus crysoleucas,Golden Shiner
45,Notropis amoenus,Comely Shiner
46,Notropis anogenus,Pugnose Shiner
47,Notropis atherinoides,Emerald Shiner
48,Notropis bifrenatus,Bridle Shiner
49,Notropis buccatus,Silverjaw Minnow
50,Notropis chalybaeus,Ironcolor Shiner
51,Notropis dorsalis,Bigmouth Shiner
52,Notropis heterodon,Blackchin Shiner
53,Notropis heterolepis,Blacknose Shiner
54,Notropis hudsonius,Spottail Shiner
55,Notropis photogenis,Silver Shiner
56,Notropis procne,Swallowtail Shiner
57,Notorpis rubellus,Rosyface Shiner
58,Notropis stramineus,Sand Shiner
59,Notropis volucellus,Mimic Shiner
60,Pimephales notatus,Bluntnose Minnow
61,Pimephales promelas,Fathead Minnow
62,Rhinichthys atratulus,Eastern Blacknose Dace
63,Rhinichthys cataractae,Longnose Dace
64,Rhinichthys obtusus,Western Blacknose Dace
65,Semotilus atromaculatus,Creek Chub
66,Semotilus corporalis,Fallfish
67,Carpiodes cyprinus,Quillback
68,Catostomus catostomus,Longnose Sucker
69,Catostomus commersonii,White Sucker
70,Catostomus utawana,Summer Sucker
71,Erimyzon oblongus,Eastern Creek Chubsucker
72,Erimyzon sucetta,Lake Chubsucker
73,Hypentelium nigricans,Northern Hog Sucker
74,Ictiobus cyprinellus,Bigmouth Buffalo
75,Minytrema melanops,Spotted Sucker
76,Moxostoma anisurum,Silver Redhorse
77,Moxostoma breviceps,Smallmouth Redhorse
78,Moxostoma carinatum,River Redhorse
79,Moxostoma duquesnei,Black Redhorse
80,Moxostoma erythrurum,Golden Redhorse
81,Moxostoma macrolepidotum,Shorthead Redhorse
82,Moxostoma valenciennesi,Greater Redhorse
83,Ameiurus catus,White Catfish
84,Ameiurus melas,Black Bullhead
85,Ameiurus natalis,Yellow Bullhead
86,Ameiurus nebulosus,Brown Bullhead
87,Ictalurus punctatus,Channel Catfish
88,Noturus flavus,Stonecat
89,Noturus gyrinus,Tadpole Madtom
90,Noturus insignis,Margined Madtom
91,Noturus miurus,Brindled Madtom
92,Osmerus mordax,Rainbow Smelt
93,Coregonus artedi,Cisco
94,Coregonus clupeaformis,Lake Whitefish
95,Oncorhynchus kisutch,Coho Salmon
96,Prosopium cylindraceum,Round Whitefish
97,Salmo salar,Atlantic Salmon
98,Salvelinus fontinalis,Brook Trout
99,Salvelinus namaycush,Lake Trout
100,Esox americanus americanus,Redfin Pickerel
101,Esox americanus vermiculatus,Grass Pickerel
102,Esox lucius,Northern Pike
103,Esox masquinongy,Muskellunge
104,Esox niger,Chain Pickerel
105,Umbra limi,Central Mudminnow
106,Umbra pygmaea,Eastern Mudminnow
107,Percopsis omiscomaycus,Trout-perch
108,Aphredoderus sayanus,Pirate Perch
109,Lota lota,Burbot
110,Microgadus tomcod,Atlantic Tomcod
111,Labidesthes sicculus,Brook Silverside
112,Fundulus diaphanus,Banded Killifish
113,Fundulus heteroclitus,Mummichog
114,Gambusia affinis,Western Mosquitofish
115,Apeltes quadracus,Fourspine Stickleback
116,Culaea inconstans,Brook Stickleback
117,Gasterosteus aculeatus,Threespine Stickleback
118,Pungitius pungitius,Ninespine Stickleback
119,Cottus bairdii,Mottled Sculpin
120,Cottus cognatus,Slimy Sculpin
121,Morone americana,White Perch
122,Morone chrysops,White Bass
123,Morone saxatilis,Striped Bass
124,Acantharchus pomotis,Mud Sunfish
125,Ambloplites rupestris,Rock Bass
126,Enneacanthus gloriosus,Bluespotted Sunfish
127,Enneacanthus obesus,Banded Sunfish
128,Lepomis auritus,Redbreast Sunfish
129,Lepomis cyanellus,Green Sunfish
130,Lepomis gibbosus,Pumpkinseed
131,Lepomis macrochirus,Bluegill
132,Lepomis peltastes,Northern Sunfish
133,Micropterus dolomieu,Smallmouth Bass
134,Micropterus salmoides,Largemouth Bass
135,Pomoxis annularis,White Crappie
136,Pomoxis nigromaculatus,Black Crappie
137,Ammocrypta pellucida,Eastern Sand Darter
138,Etheostoma blennioides,Greenside Darter
139,Etheostoma caeruleum,Rainbow Darter
140,Etheostoma camurum,Bluebreast Darter
141,Etheostoma exile,Iowa Darter
142,Etheostoma flabellare,Fantail Darter
143,Etheostoma fusiforme,Swamp Darter
144,Etheostoma maculatum,Spotted Darter
145,Etheostoma nigrum,Johnny Darter
146,Etheostoma olmstedi,Tessellated Darter
147,Etheostoma variatum,Variegate Darter
148,Etheostoma zonale,Banded Darter
149,Perca flavescens,Yellow Perch
150,Percina caprodes,Logperch
151,Percina copelandi,Channel Darter
152,Percina evides,Gilt Darter
153,Percina macrocephala,Longhead Darter
154,Percina maculata,Blackside Darter
155,Percina peltata,Shield Darter
156,Sander canadensis,Sauger
157,Sander vitreum,Walleye
158,Aplodinotus grunniens,Freshwater Drum
