,Cumberlandia monodonta,Margaritifera marrianae,Actinonaias ligamentina,Actinonaias pectorosa,Alasmidonta marginata,Alasmidonta mccordi,Alasmidonta triangulata,Alasmidonta viridis,Amblema elliottii,Amblema plicata,Anodonta suborbiculata,Anodonta sp. (Cypress Floater),Anodontoides radiatus,Arcidens confragosus,Cyclonaias tuberculata,Cyprogenia stegaria,Dromus dromas,Ellipsaria lineolata,Elliptio arca,Elliptio arctata,Elliptio chipolaensis,Elliptio crassidens ,Elliptio dilatata,Elliptio fraterna,Elliptio fumata,Elliptio mcmichaeli,Elliptio nigella,Elliptio pullata,Elliptio purpurella,Elliptoideus sloatianus,Epioblasma arcaeformis,Epioblasma biemarginata,Epioblasma brevidens,Epioblasma capsaeformis,Epioblasma cincinnatiensis,Epioblasma flexuosa,Epioblasma florentina,Epioblasma haysiana ,Epioblasma lenior,Epioblasma lewisii,Epioblasma metastriata,Epioblasma obliquata,Epioblasma othcaloogensis,Epioblasma penita,Epioblasma personata,Epioblasma propinqua,Epioblasma stewardsonii,Epioblasma torulosa,Epiblasma triquetra,Epiblasma turgidula,Epiblasma sp. cf capsaeformis,Fusconaia apalachicola,Fusconaia burkei,Fusconaia cerina,Fusconaia cor,Fusconaia cuneolus,Fusconaia ebena,Fusconaia escambia,Fusconaia rotulata,Fusconaia subrotunda,Glebula rotundata,Hamiota altilis,Hamiota australis,Hamiota perovalis,Hamiota subangulata,Hemistena lata,Lampsilis abrupta,Lampsilis binominata,Lampsilis fasciola,Lampsilis floridensis,Lampsilis ornata,Lampsilis ovata,Lampsilis straminea,Lampsilis teres,Lampsilis virescens,Lasmigona alabamensis,Lasmigona complanata,Lasmigona costata,Lasmigona etowaensis,Lasmgona holstonia,Lasmigona subviridis,Lemiox rimosus,Leptodea fragilis,Leptodea leptodon,Ligumia recta,Ligumia subrostrata,Medionidus acutissimus,Medionidus conradicus,Medionidus parvulus,Medionidus penicillatus,Megalonaias nervosa,Obliquaria reflexa,Obovaria haddletonia,Obovaria jacksoniana,Obovaria olivaria,Obovaria retusa,Obovaria subrotundra,Obovaria unicolor,Pegias fabula,Plectomerus dombeyanus,Plethobasus cicatricosus,Plethobasus cooperianus,Plethobasus cyphyus,Pleurobema athearni,Pleurobema clava,Pleurobema cordatum,Pleurobema curtum,Pleurobema decisum,Pleurobema fibuloides,Pleurobema georgianum,Pleurobema hanleyianum,Pleurobema hartmanianum,Pleurobema marshalli,Pleurobema oviforme,Pleurobema oervatum,Pleurobema plenum,Pleurobema pyriforme,Pleurobema rubellum,Pleurobema rubrum,Pleurobema sintoxia,Pleurobema stabilis,Pleurobema strodeanum,Pleurobema taitianum,Pleurobema verum,Pleuronaia barnesiana,Pleuronaia dolabelloides,Potamilus alatus,Potamilus inflatus,Potamilus ohiensis,Potamilus purpuratus,Ptychobranchus fasciolaris,Ptychobranchus foremanianus,Ptychobranchus greenii,Ptychobranchus jonesi,Ptychobranchus subtentum,Pyganodon cataracta,Pyganodon grandis,Quadrula apiculata,Quadrula apiculata,Quadrulat asperata,Quadrula cylindrica,Quadrula infucata,Quadrula intermedia,Quadrula kieneriana,Quadrula metanevra,Quadrula nobilis,Quadrula pustulosa,Quadrula quadrula,Quadrula rumphiana,Quadrula sparsa,Quadrula stapes,Quadrula succissa,Quadrula verrucosa,Strophitus cannasaugaensis,Strophitus subvexus,Strophitus undulatus,Toxolasma corvunculus,Toxolasma cylindrellus,Toxolasma lividum,Toxolasma parvum,Toxolasma paulum,Toxolasma sp. (Gulf Lilliput),Truncilla donaciformis,Truncilla truncata,Uniomerus columbensis,Uniomerus tetralasmus,Utterbackia imbecillis,Utterbackia peggyae,Villosa choctawensis,Villosa fabalis,Villosa iris,Villosa lienosa,Villosa nebulosa,Villosa taeniata,Villosa trabalis,Villosa umbrans,Villosa vanuxemensis,Villosa vibex,Villosa villosa
Tennesse Above Fall,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
Tennesse Below Fall,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Tombigbee Upland,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Tombigbee Lowland,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Black Warrior Above Fall,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Black Warrior Below Fall,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Cahaba Above Fall,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Cahaba Below Fall,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Coosa Above Fall,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
Coosa Below Fall,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
