,Actinonaias_carinata,Actinonaias_ellipsiformis,Alasmidonta_calceolus,Alasmidonta_marginata,Amblema_plicata,Anodonta_imbecillis,Anodontoides_ferussacianus,Arcidens_confragosus,Cyclonaias_tuberculata,Elliptio_complanata,Elliptio_dilatata,Fusconaia_ebenus,Fusconaia_flava,Lampsilis_higginsi,Lampsilis_siliquoidea,Lampsilis_teres,Lampsilis_ventricosa,Lasmigona_complanata,Lasmigona_compressa,Lasmigona_costata,Leptodea_fragilis,Leptodea_laevissima,Ligumia_recta,Megalonaias_nervosa,Obliquaria_reflexa,Obovaria_olivaria,Plagiola_lineolata,Plethbasus_cyphyus,Pleurobema_cordatum,Potamilus_alatus,Pyganodon_grandis,Quadrula_metanevra,Quadrula_nodulata,Quadrula_pustulosa,Quadrula_quadrula,Simpsonaias_ambigua,Strophitus_undulatus,Toxolasma_parvus,Tritogonia_verrucosa,Truncilla_donaciformis,Truncilla_truncata,Villosa_iris
LakeSuperior,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0
StCroix,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
Chippewa,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
BlackRiver,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
Up_Wisc,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
Low_Wisc,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
GreenBay,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Fox_WI,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0
LakeMichigan,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
Fox_IL,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
Rock,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0
