Genus	Afrotropical	Australian	Indomalaysian	Nearctic	Neotropical	Palearctic
1	Acostaea	0	0	0	0	1	0
2	Actinonaias	0	0	0	2	7	0
3	Aculamprotula	0	0	5	0	0	0
4	Acuticosta	0	0	5	0	0	0
5	Alasmidonta	0	0	0	12	0	0
6	Alathyria	0	4	0	0	0	0
7	Amblema	0	0	0	3	0	0
8	Amphinaias	0	0	0	11	0	0
9	Anemina	0	0	5	0	0	2
10	Anodonta	0	0	0	7	1	6
11	Anodontites	0	0	0	0	21	0
12	Anodontoides	0	0	0	3	0	0
13	Arcidens	0	0	0	2	0	0
14	Arcidopsis	0	0	1	0	0	0
15	Arconaia	0	0	3	0	0	0
16	Arotonaias	0	0	0	0	3	0
17	Aspatharia	14	0	0	0	0	0
18	Bartlettia	0	0	0	0	1	0
19	Barynaias	0	0	0	0	5	0
20	Brazzaea	1	0	0	0	0	0
21	Cafferia	1	0	0	0	0	0
22	Callonaia	0	0	0	0	1	0
23	Castalia	0	0	0	0	10	0
24	Castaliella	0	0	0	0	1	0
25	Caudiculatus	0	0	1	0	0	0
26	Chambardia	11	0	0	0	0	0
27	Chamberlainia	0	0	2	0	0	0
28	Chelidonopsis	1	0	0	0	0	0
29	Coelatura	22	0	0	0	0	0
30	Contradens	0	0	6	0	0	0
31	Cristaria	0	0	4	0	0	3
32	Ctenodesma	0	0	2	0	0	0
33	Cucumerunio	0	2	0	0	0	0
34	Cuneopsis	0	0	6	0	0	0
35	Cyclonaias	0	0	0	1	0	0
36	Cyprogenia	0	0	0	2	0	0
37	Cyrtonaias	0	0	0	2	5	0
38	Delphinonaias	0	0	0	0	4	0
39	Diaurora	0	0	1	0	0	0
40	Diplodon	0	0	0	0	18	0
41	Diplodontites	0	0	0	0	3	0
42	Discomya	0	0	1	0	0	0
43	Disconaias	0	0	0	2	5	0
44	Dromus	0	0	0	1	0	0
45	Echyridella	0	3	0	0	0	0
46	Ellipsaria	0	0	0	1	0	0
47	Elliptio	0	0	0	39	0	0
48	Elliptoideus	0	0	0	1	0	0
49	Elongaria	0	0	2	0	0	0
50	Ensidens	0	0	2	0	0	0
51	Epioblasma	0	0	0	22	0	0
52	Etheria	1	0	0	0	0	0
53	Fossula	0	0	0	0	1	0
54	Friersonia	0	0	0	0	1	0
55	Fusconaia	0	0	0	13	0	0
56	Germainaia	1	0	0	0	0	0
57	Glebula	0	0	0	1	0	0
58	Gonidea	0	0	0	1	0	0
59	Grandidieria	1	0	0	0	0	0
60	Haasica	0	0	0	0	1	0
61	Haasodonta	0	2	0	0	0	0
62	Hamiota	0	0	0	4	0	0
63	Harmandia	0	0	2	0	0	0
64	Hemistena	0	0	0	1	0	0
65	Hyridella	0	8	0	0	0	0
66	Hyriopsis	0	0	7	0	0	1
67	Iheringella	0	0	0	0	2	0
68	Inversidens	0	0	1	0	0	2
69	Inversiunio	0	0	0	0	0	4
70	Lamellidens	0	0	11	0	0	0
71	Lamproscapha	0	0	0	0	2	0
72	Lamprotula	0	0	19	0	0	2
73	Lampsilis	0	0	0	24	0	0
74	Lanceolaria	0	0	5	0	0	3
75	Lasmigona	0	0	0	8	0	0
76	Leguminaia	0	0	0	0	0	2
77	Leila	0	0	0	0	2	0
78	Lemiox	0	0	0	1	0	0
79	Lepidodesma	0	0	2	0	0	0
80	Leptodea	0	0	0	3	0	0
81	Ligumia	0	0	0	3	0	0
82	Lortiella	0	3	0	0	0	0
83	Margaritifera	0	0	1	5	0	8
84	Martensnaias	0	0	0	0	1	0
85	Medionidus	0	0	0	6	0	0
86	Megalonaias	0	0	0	1	1	0
87	Microcondylaea	0	0	0	0	0	1
88	Microdontia	0	1	0	0	0	0
89	Micronaias	0	0	0	0	3	0
90	Modellnaia	0	0	1	0	0	0
91	Moncetia	1	0	0	0	0	0
92	Monocondylaea	0	0	0	0	4	0
93	Mutela	14	0	0	0	0	0
94	Mweruella	1	0	0	0	0	0
95	Mycetopoda	0	0	0	0	4	0
96	Mycetopodella	0	0	0	0	1	0
97	Nephritica	0	0	0	0	2	0
98	Nephronaias	0	0	0	0	24	0
99	Nitia	5	0	0	0	0	0
100	Nodularia	0	0	4	0	0	1
101	Nyassunio	2	0	0	0	0	0
102	Obliquaria	0	0	0	1	0	0
103	Obovaria	0	0	0	6	0	0
104	Oxynaia	0	0	5	0	0	0
105	Pachynaias	0	0	0	0	2	0
106	Parreysia	0	0	39	0	0	0
107	Pegias	0	0	0	1	0	0
108	Physunio	0	0	10	0	0	0
109	Pilsbryoconcha	0	0	5	0	0	0
110	Plectomerus	0	0	0	1	0	0
111	Pleiodon	2	0	0	0	0	0
112	Plethobasus	0	0	0	3	0	0
113	Pleurobema	0	0	0	26	0	0
114	Pleuronaia	0	0	0	2	0	0
115	Popenaias	0	0	0	1	3	0
116	Potamilus	0	0	0	7	2	0
117	Potomida	0	0	0	0	0	1
118	Pressidens	0	0	3	0	0	0
119	Prisodon	0	0	0	0	2	0
120	Prisodontopsis	1	0	0	0	0	0
121	Prohyriopsis	0	0	1	0	0	0
122	Pronodularia	0	0	0	0	0	2
123	Protunio	0	0	1	0	0	0
124	Pseudanodonta	0	0	0	0	0	3
125	Pseudobaphia	0	0	2	0	0	0
126	Pseudodon	0	0	22	0	0	1
127	Pseudodontopsis	0	0	0	0	0	1
128	Pseudomulleria	0	0	1	0	0	0
129	Pseudospatha	1	0	0	0	0	0
130	Psoronaias	0	0	0	0	8	0
131	Psorula	0	0	0	0	7	0
132	Ptychobranchus	0	0	0	6	0	0
133	Ptychorhynchus	0	0	3	0	0	0
134	Pyganodon	0	0	0	6	1	0
135	Quadrula	0	0	0	5	0	0
136	Quincuncina	0	0	0	1	0	0
137	Rectidens	0	0	2	0	0	0
138	Reticulatus	0	0	0	0	2	0
139	Rhipidodonta	0	0	0	0	10	0
140	Rhombuniopsis	0	0	3	0	0	0
141	Scabies	0	0	5	0	0	0
142	Schepmania	0	0	2	0	0	0
143	Schistodesmus	0	0	2	0	0	0
144	Simpsonaias	0	0	0	1	0	0
145	Simpsonella	0	0	2	0	0	0
146	Sinanodonta	0	0	1	0	0	2
147	Solenaia	0	0	5	0	0	0
148	Sphenonaias	0	0	0	1	6	0
149	Strophitus	0	0	0	3	0	0
150	Tamsiella	0	0	0	0	2	0
151	Theliderma	0	0	0	5	0	0
152	Toxolasma	0	0	0	8	0	0
153	Trapezoideus	0	0	4	0	0	0
154	Triplodon	0	0	0	0	2	0
155	Tritogonia	0	0	0	1	0	0
156	Truncilla	0	0	0	3	1	0
157	Unio	2	0	0	0	0	10
158	Uniomerus	0	0	0	4	0	0
159	Unionetta	0	0	2	0	0	0
160	Utterbackia	0	0	0	7	0	0
161	Velesunio	0	6	0	0	0	0
162	Venustaconcha	0	0	0	2	0	0
163	Villosa	0	0	0	18	0	0
164	Virgus	0	1	0	0	0	0
165	Westralunio	0	3	0	0	0	0
