Genus	Species	Afrotropical	Australian	Indomalaysian	Nearctic	Neotropical	Palearctic
Aspatharia	chaiziana	1	0	0	0	0	0
Aspatharia	dahomeyensis	1	0	0	0	0	0
Aspatharia	divaricata	1	0	0	0	0	0
Aspatharia	droueti	1	0	0	0	0	0
Aspatharia	mabillei	1	0	0	0	0	0
Aspatharia	marnoi	1	0	0	0	0	0
Aspatharia	pangallensis	1	0	0	0	0	0
Aspatharia	pfeifferiana	1	0	0	0	0	0
Aspatharia	rochebrunei	1	0	0	0	0	0
Aspatharia	rugifera	1	0	0	0	0	0
Aspatharia	semicorrugata	1	0	0	0	0	0
Aspatharia	subreniformis	1	0	0	0	0	0
Aspatharia	tawaii	1	0	0	0	0	0
Aspatharia	tristis	1	0	0	0	0	0
Brazzaea	anceyi	1	0	0	0	0	0
Cafferia	caffra	1	0	0	0	0	0
Chambardia	bourguignati	1	0	0	0	0	0
Chambardia	dautzenbergi	1	0	0	0	0	0
Chambardia	letourneuxi	1	0	0	0	0	0
Chambardia	moutai	1	0	0	0	0	0
Chambardia	nyassaensis	1	0	0	0	0	0
Chambardia	petersi	1	0	0	0	0	0
Chambardia	rubens	1	0	0	0	0	0
Chambardia	trapezia	1	0	0	0	0	0
Chambardia	wahlbergi	1	0	0	0	0	0
Chambardia	welwitschii	1	0	0	0	0	0
Chambardia	wissmanni	1	0	0	0	0	0
Chelidonopsis	hirundo	1	0	0	0	0	0
Coelatura	aegyptiaca	1	0	0	0	0	0
Coelatura	alluaudi	1	0	0	0	0	0
Coelatura	bakeri	1	0	0	0	0	0
Coelatura	briarti	1	0	0	0	0	0
Coelatura	choziensis	1	0	0	0	0	0
Coelatura	cridlandi	1	0	0	0	0	0
Coelatura	essoensis	1	0	0	0	0	0
Coelatura	gabonensis	1	0	0	0	0	0
Coelatura	hauttecoeuri	1	0	0	0	0	0
Coelatura	horei	1	0	0	0	0	0
Coelatura	hypsiprymna	1	0	0	0	0	0
Coelatura	kipopoensis	1	0	0	0	0	0
Coelatura	kunenensis	1	0	0	0	0	0
Coelatura	leopoldvillensis	1	0	0	0	0	0
Coelatura	lobensis	1	0	0	0	0	0
Coelatura	luapulaensis	1	0	0	0	0	0
Coelatura	mossambicensis	1	0	0	0	0	0
Coelatura	ratidota	1	0	0	0	0	0
Coelatura	rothschildi	1	0	0	0	0	0
Coelatura	rotula	1	0	0	0	0	0
Coelatura	stagnorum	1	0	0	0	0	0
Coelatura	stuhlmanni	1	0	0	0	0	0
Etheria	elliptica	1	0	0	0	0	0
Germainaia	geayi	1	0	0	0	0	0
Grandidieria	burtoni	1	0	0	0	0	0
Moncetia	anceyi	1	0	0	0	0	0
Mutela	alata	1	0	0	0	0	0
Mutela	alluaudi	1	0	0	0	0	0
Mutela	bourguignati	1	0	0	0	0	0
Mutela	dubia	1	0	0	0	0	0
Mutela	franci	1	0	0	0	0	0
Mutela	hargeri	1	0	0	0	0	0
Mutela	joubini	1	0	0	0	0	0
Mutela	langi	1	0	0	0	0	0
Mutela	legumen	1	0	0	0	0	0
Mutela	mabilli	1	0	0	0	0	0
Mutela	rostrata	1	0	0	0	0	0
Mutela	soleniformis	1	0	0	0	0	0
Mutela	wistarmorrisi	1	0	0	0	0	0
Mutela	zambesiensis	1	0	0	0	0	0
Mweruella	mweruensis	1	0	0	0	0	0
Nitia	acuminata	1	0	0	0	0	0
Nitia	chefneuxi	1	0	0	0	0	0
Nitia	monceti	1	0	0	0	0	0
Nitia	mutelaeformis	1	0	0	0	0	0
Nitia	teretiuscula	1	0	0	0	0	0
Nyassunio	nyassaensis	1	0	0	0	0	0
Nyassunio	ujijiensis	1	0	0	0	0	0
Pleiodon	ovata	1	0	0	0	0	0
Pleiodon	spekii	1	0	0	0	0	0
Prisodontopsis	aviculaeformis	1	0	0	0	0	0
Pseudospatha	tanganyicensis	1	0	0	0	0	0
Unio	abyssinicus	1	0	0	0	0	0
Unio	mancus	1	0	0	0	0	0
Alathyria	condola	0	1	0	0	0	0
Alathyria	jacksoni	0	1	0	0	0	0
Alathyria	pertexta	0	1	0	0	0	0
Alathyria	profuga	0	1	0	0	0	0
Cucumerunio	novaehollandiae	0	1	0	0	0	0
Cucumerunio	websteri	0	1	0	0	0	0
Echyridella	lucasi	0	1	0	0	0	0
Echyridella	menziesii	0	1	0	0	0	0
Echyridella	onekaka	0	1	0	0	0	0
Haasodonta	fannyae	0	1	0	0	0	0
Haasodonta	vanheurni	0	1	0	0	0	0
Hyridella	aucklandica	0	1	0	0	0	0
Hyridella	australis	0	1	0	0	0	0
Hyridella	depressa	0	1	0	0	0	0
Hyridella	drapeta	0	1	0	0	0	0
Hyridella	glenelgensis	0	1	0	0	0	0
Hyridella	guppyi	0	1	0	0	0	0
