,Cambarellus shufeldtii ,Cambarellus puer,Procambarus gracilis,Procambarus acutus,Procambarus viaeviridis,Procambarus clarkii,Orconectes illinoiensis,Orconectes immunis,Orconectes indianensis,Orconectes kentuckiensis,Orconectes lancifer,Orconectes placidus,Orconectes propinquus,Orconectes rusticus,Orconectes stannardi,Orconectes virilis,Fallicambarus fodiens,Cambarus tenebrosus,Cambarus rusticiformis,Cambarus diogenes,Cambarus robustus
Big Muddy,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0
Cache,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0
Chicago/Calumet,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Des Plaines,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Embarras,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
Fox,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Green,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Illinois,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
Iriquois,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Kankakee,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Kaskaskia,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Kishwaukee,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
La Moine,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Lake Michigan,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
Little Wabash,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
Mackinaw,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Macoupin,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Mississippi,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
Ohio,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0
Rock,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Saline,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0
Sangamon,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1
Spoon,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Vermillion (Illinois Basin),0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Vermillion (Wabash Basin),0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
Wabash,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0
