,Cumberlandia monodona,Amblema plicata,Cyclonaias tuberculata,Elliptio complanata,Eliptio crassidens,Elliptio dilitata,Fusconaia ebena,Fusconaia flava,Megalonaias nervosa,Plethobasus cyphyus,Pleurobema sintoxia,Quadrula fragosa,Quadrula metanevra,Quadrula nodulata,Quadrula pustulosa,Quadrula quadrula,Tritogonia verrucosa,Alasmidonta marginata,Anodonta suborbiculata,Anodontoides ferussacianus,Arcidens confragosus,Lasmogona complanata,Lasmigona compressa,Lasmigona costata,Pyganodon grandis,Simpsonias ambigua,Strophitus undulatus,Utterbackia imbecilis,Actinonaias ligamentina,Ellipsaria lineolata,Epioblasma triquetra,Lampsilis cardium,Lampsilis higginsi,Lampsilis siliquoidea,Lampsilis terres,Leptodea fragilis,Leptodea leptodon,Ligumia recta,Ligumia subrostrata,Obliquaria reflexa,Obovaria olivaria,Potamilus alatus,Potamilus capax,Potamilus ohiensis,Toxolasma parvus,Truncilla donaciformis,Truncilla truncata,Venustaconcha ellipsiformis
Red River North,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Rainy River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lake Superior,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
St Croix River,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0
MSR Head,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
MSR Below Anthony Falls,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
Minnesota River,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Missouri River,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0
Des Moines River,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Cedar River,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
