,Ichthyomyzon castaneus,Ichthyomyzon gagei,Ichthyomyzon unicuspis,Lampetra aepyptera,Acipenser fulvescens,Acipenser oxyrinchus,Scaphirhynchus albus,Scaphirhynchus platorynchus,Scaphirhynchus suttkusi,Polyodon spathula,Atractosteus spatula,Lepisosteus oculatus,Lepisosteus osseus,Lepisosteus platostomus,Amia calva,Hiodon alosoides,Hiodon tergisus,Anguilla rostrata,Dorosoma cepedianum,Dorosoma petenense,Campostoma anomalum,Campostoma oligolepis,Clinostomus funduloides,Cyprinella callistia,Cyprinella camura,Cyprinella galactura,Cyprinella lutrensis,Cyprinella spiloptera,Cyprinella venusta,Cyprinella whipplei,Cyprinus carpio,Ericymba buccata,Hybognathus hayi,Hybognathus nuchalis,Luxilus chrysocephalus,Lythrurus bellus,Lythrurus fasciolaris,Lythrurus fumeus,Lythrurus roseipinnnis,Lythrurus umbratilis,Macrhybopsis aestivalis,Macrhybopsis meeki,Macrhybopsis storeriana,Nocomis leptocephalus,Notemigonus crysoleucus,Notropis ammophilus,Notropis amnis,Notropis atherinoides,Notropis baileyi,Notropis blennius,Notropis boops ,Notropis buchanani,Notropis candidus,Notropis chalybaeus,Notropis edwardraneyi,Notropis longirostris,Notropis maculatus,Notropis melanostomus,Notropis petersoni,Notropis rafinesquei,Notropis rubellus,Notropis sabinae,Notropis shumardi,Notropis stilbius,Notropis texanus,Notropis volucellus,Notropis wickliffi,Notropis winchelli,Opsopoeodis emiliae,Phenacobius mirabilis,Phoxinus erythrogaster,Pimephales notatus,Pimephales promelas,Pimephales vigilax,Platygobio gracilis,Pteronotropis signipinnis,Pteronotropis welaka,Rhinichthys atratulus,Semotilus atromaculatus,Carpiodes carpio,Carpiodes cyprinus,Carpiodes velifer,Cycleptus elongatus,Cycleptus meridionalis,Erimyzon oblongus,Erimyzon sucetta,Erimyzon tenuis,Hypentelium etowanum,Hypentelium nigricans,Ictiobus bubalus,Ictiobus cyprinellus,Ictiobus niger,Minytrema melanops,Moxostoma anisurum,Moxostoma cainatum,Moxostoma duquesnei,Moxostoma erythrurum,Moxostoma macrolepidotum,Moxostoma poecilurum,Ameiurus catus,Ameiurus melas,Ameiurus natalis,Ameiurus nebulosus,Ictalurus furcatus,Ictalurus punctatus,Noturus exilis,Noturus flavus,Noturus funebris,Noturus gyrinus,Noturus hildebrandi,Noturus leptacanthus,Noturus miurus,Noturus munitus,Noturus nocturnus,Noturus phaeus,Noturus stigmosus,Pylodictis olivaris,Esox americanus,Esox niger,Oncorhynchus mykiss,Aphredoderus sayanus,Fundulus catenatus,Fundulus chrysotus,Fundulus dispar blairae,Fundulus dispar dispar,Fundulus euryzonus,Fundulus grandis,Fundulus jenkinsi,Fundulus majalis,Fundulus notatus,Fundulus nottii,Fundulus olicaceus,Fundulus pulvereus,Gambusia affinis,Labidesthes sicculus,Cottus carolinae,Morone chrysops,Morone mississippiensis,Morone saxatilis,Ambloplites ariommus,Ambloplites rupestris,Centrarchus macropterus,Enneacanthus gloriosus,Lepomis auritus,Lepomis cyanellus,Lepomis gulosus,Lepomis humilis,Lepomis macrochirus,Lepomis marginatus,Lepomis megalotis,Lepomis microlophus,Lepomis miniatus,Lepomis symmetricus,Micropterus dolomieu,Micropterus punctulatus,Micropterus salmoides,Pomoxis annularis,Pomoxis nigromaculatus,Elassoma zonatum,Ammocrypta beani,Ammocrypta clara,Ammocrypta mericiana,Ammocrypta vivax,Crystallaria asprella,Etheostoma asprigene,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma chlorosoma,Etheostoma duryi,Etheostoma flabellare,Etheostoma fusiforme,Etheostoma gracile,Etheostoma histrio,Etheostoma kennicotti,Etheostoma lachneri,Etheostoma lynceum,Etheostoma nigripinne,Etheostoma nigrum,Etheostoma parvipinne,Etheostoma proeliare,Etheostoma raneyi,Etheostoma rubrum,Etheostoma rufilineatum,Etheostoma rupestre,Etheostoma stigmaeum,Etheostoma swaini,Etheostoma whipplei,Etheostoma zonifer,Etheostoma zonistium,Perca flavescens,Percina aurora,Percina caprodes,Percina evides,Percina kathae,Percina lenticula,Percina maculata,Percina nigrofasciata,Percina phoxocephala,Percina sciera,Percina shumardi,Percina suttkusi,Percina vigil,Stizostedion canadense,Stizostedion vitreum
Lake Ponchartrain,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0
Pearl River,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1
Coastal Rivers,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Pascagoula River,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0
Tombigbee River,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1
Tennessee River,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0
Lower Miss. N.,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
Yazoo River,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0
Big Black River,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0
Lower Miss. S.,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1
Lower Yazoo,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
