,Margaritifera margaritifera,Elliptio complanata,Lampsilis radiata,Lampsilis ovata,Strophitus undulatus,Pyganodon c. cataracta,Pyganodon grandis,Lasmigona costata,Lasmigona compressa,Anodonta implicata,Lepodea fragilis,Potamilus alatus,Ligumia recta,Alasmidonta heterodon,Alasmidonta varicosa,Alasmidonta undulata,Anodontoides ferussacianus,Dreissena polymorpha
"Battenkis, Wallocmsac, & Hoosie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Poultney, & Mettawee",0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
"Otter Creek, Little Otter Creek, & Lewis Creek",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1
Lower Champlain,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
Upper Lake Champlain,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1
Missisquoi,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0
Lamoille,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0
Winooski,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0
White ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ottauquechee & Black,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"West, Williams, & Saxtons",1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
Deerfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Connecticut,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
"Wells, Waits, Ompompanoosuc",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Passumpsic,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Connecticut,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Lake Menphremagog,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
