,Barbicambarus cornutus,Cambarellus puer,Cambarellus shufeldtii,Cambarus bartonii cavatus,Cambarus batchi,Cambarus bouchardii,Cambarus buntingi,Cambarus cumberlandensis,Cambarus deweesae,Cambarus diogenes,Cambarus distans,Cambarus dubius,Cambarus friaufi,Cambarus graysoni,Cambarus ludovicianus,Cambarus ortmanni,Cambarus parvoculus,Cambarus robustus,Cambarus rusticiformis,Cambarus sciotensis,Cambarus sphenoides,Cambarus striatus,Cambarus tenebrosus,Cambarus thoami,Cambarus veteranus,Cambarus sp. A,Fallicambarus fodiens,Orconectes australis packardi,Orconectes barrenensis,Orconectes bisectus,Orconectes burri,Orconectes compressus,Orconectes cristavarius,Orconectes durelli,Orconectes immunis,Orconectes inermis inermis ,Orconectes jeffersonii,Orconectes juvenilis,Orconectes kentuckiensis,Orconectes lancifer,Orconectes margorectus,Orconectes palmeri palmeri,Orconectes pellucidus,Orconectes placidus,Orconectes putnami,Orconectes rafinesquei,Orconectes ronaldi,Orconectes rusticus,Orconectes sanbornii,Orconectes tricuspis,Procambarus acutus,Procambarus clarkii,Procambarus viaeviridis
Mississippi River,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Tennessee River,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
Cumberland River,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0
Tradewater River,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio River ,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0
Green River,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0
Barren River,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Salt River,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kentucky River,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Licking River,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Big Sandy River,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
