,Actinonaisa ligamentina,Amblema plicata,Anodonta suborbiculata,Anodonta sp. cf. suborbiculata,Anodontoides radiatus,Arcidens confragosus,Cyclonaias tuberculata,Cyprogenia aberti,Ellipsaria lineolata,Elliptio arca,Elliptio arctata,Elliptio crassidens,Elliptio dilatata,Epioblasma brevidens,Epioblasma penita,Epioblasma triquetra,Fusconaia barnesiana,Fusconaia cerina,Fusconaia ebena,Fusconaia flava,Glebula rotundata,Lampsilis altilis,Lampsilis cardium,Lampsilis fasciola,Lampsilis hydiana,Lampsilis ornata,Lampsilis ovata,Lampsilis perovalis,Lampsilis satura,Lampsilis siliquiodea,Lampsilis straminea straminea,Lampsilis straminea claibornensis,Lampsilis teres,Lasmigona complananta complanata,Lasmigona complanata alabamensis,Lasmigona costata,Leptodea fragilis,Leingtonia dolabelloides,Ligumia recta,Ligumia subrostrata,Medionidus acutissimum,Megalonaias nervosa,Obliquaria reflexa,Obovaria jacksoniana,Oboviaria subrotunda,Obovaria unicolor,Plectomerus dombeyanus,Plethobasus cyphyus,Pleurobema beadleianum,Pleurobema curtum,Pleurobema decisum,Pleurobema marshalli,Pleurobema oviforme,Pleurobema perovatum,Pleurobema rubrum,Pleurobema taitianum,Potamilus alatus,Potamilus capax,Potamilus inflatus,Potamilus ohiensis,Potamilus purpuratus,Ptychobranchus fasciolaris,Pyganodon grandis,Quadrula apicula,Quadrula asperata,Quadrula cylindrica,Quadrula metanevra,Quadrula nobilis,Quadrula nodulata,Quadrula pustulosa,Quadrula quadrula,Quadrula refulgens,Quadrula rumphiana,Quadrula stapes,Strophitus connasaugaensis,Strophitus subvexus,Strophitus undulatus,Toxolasma parvus,Toxolasma texasiensis,Tritigonia verrucosa,Truncilla donaciformis,Truncilla truncata,Uniomerus carolinianus,Uniomerus devlivis,Uniomerus tetralasmus,Utterbackia imbecillis,Utterbackia sp. cf. imbecilis,Villosia lienosa,Villosa vibex
MSR North,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1
MSR South,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0
Big Black,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0
Yazoo,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0
Tennessee,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0
Lake Pontch.,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1
Coastal ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Pearl,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1
Pascagoula ,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
Tombigbee,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1
