,Ichthyomyzon unicuspis,Ichthyomyzon fossor,Ichthyomyzon bdellium,Ichtyomyzon greeleyi,Petromyzon marinus,Lampetra aepyptera,Lampetra appendix,Acipenser fulvescens,Scaphirhynchus platorynchus,Polydon spathula,Lepisosteus spatula,Lepisosteus platostomus,Lepisosteus oculatus,Lepisosteus osseus,Amia calva,Anguilla rostrata,Alosa chrysochloris,Alosa pseudoharengus,Dorosoma cepedianum,Dorosoma petenense,Hiodon alosoides,Hiodon tergisus,Oncorhynchus tshawytscha,Oncorhynchus kisutch,Salmo trutta,Salmo gairdneri,Salvelinus fontinalis,Salvelinus namaycush,Coregonus artedii albus,Coregonus clupeaformis,Osmerus mordax,Umbra limi,Esox americanus,Esox niger,Esox lucius,Esox masquinongy masquinongy,Esox masquinongy ohioensis,Cyprinus carpio,Carassius auratus,Notemigonus crysoleucas,Nocomis biguttatus,Nocomis micropogon,Hybopsis storeriana,Hybopsis amblops amblops,Hybopsis dissimilis dissimilis,Hybopsis x-punctata trautmani,Hybopsis aestivalis hyostoma ,Rhinichthys atratulus meleagris,Rhinichthys cataractae,Semotilus atromaculatus atromaculatus,Exoglossum laurae hubbsi,Phenacobius mirabilis,Phoxinus erythrogaster,Clinostomus elongatus,Clinostous funduloides,Notropis emiliae emiliae,Notropis atherinoides atherinoides,Notropis photogenis,Notropis ariommus,Notropis rubellus,Notropis umbratilis cyanocephalus,Notropis ardens,Notropis chrysocephalus chrysocephalus,Notropis cornutus,Notropis blennius,Notropis hudsonius,Notropis heterodon,Notropis boops,Notropis whipplei,Notropis spilopterus,Notropis dorsalis dorsalis,Notropis stramineus stramineus,Notropis volucellus volucellus,Notropis volucellus wickliffi,Notropis buchanani,Notropis heterolepis,Notropis anogenus,Ericymba buccata,Hybognathus nuchalis nuchalis,Pimephales vigilax perspicuus,Pimephales promelas promelas,Pimephales notatus,Campostoma anomalum anomalum,Campostoma anomalum pullum,Cycleptus elongatus,Ictiobus cyprinellus,Ictiobus niger,Ictiobus bubalus,Carpiodes cyprinus cyprinus,Carpiodes cyprinus hinei,Carpiodes carpio carpio,Carpiodes velifer,Moxostoma anisurum,Moxostoma duqesnei,Moxostoma erythrurum,Moxostoma macrolepidotum macrolepidotum,Moxostoma macrolepidotum breviceps,Moxostoma valenciennesi,Moxostoma carinatum,Lagochila lacera,Hypentelium nigricans,Catostomus commersoni commersoni,Catostomus catostomus catostomus,Minytrema melanops,Erimyzon sucetta kennerlyi,Erimyzon oblongus claviformis,Ictalurus furcatus,Ictalurus punctatus,Ictalurus catus,Ictalurus natalis,Ictalurus nebulosus,Ictalurus melas,Pylodictis olivaris,Noturus flavus,Noturus eleutherus,Noturus stigmosus,Noturus trautmani,Noturus miurus ,Noturus gyrinus,Aphredoderus sayanus,Percopsis omiscomaycus,Lota lota lacustris,Fundulus diaphanus diaphanus,Fundulus diaphanus menona,Fundulus notatus ,Gambusia affinis,Labidesthes sicculus,Culaea inconstans,Morone saxatilis,Morone chrysops,Morone americana,Pomoxis annularis ,Pomoxis nigromaculatus,Ambloplites rupestris rupestris,Micropterus dolomieui dolomieui,Micropterus punctulatus punctulatus,Micropterus salmoides salmoides,Lepomis gulosus,Lepomis cyanellus,Lepomis macrochirus macrochirus,Lepomis humilis,Lepomis megalotis megalotis,Lepomis megalotis peltastes,Lepomis microlophus,Lepomis gibbosus,Stizostedion canadense,Stizostedion vitreum vitreum,Stizostedion vitreum glaucum,Perca flavescens,Percina sciera sciera,Percina maculata,Percina macrocephala,Percina phoxocephala,Percina shumardi,Percina copelandi,Percina evides,Percina caprodes caprodes,Percina caprodes semifasciata,Ammocrypta asprella,Ammocrypta pellucida,Etheostoma nigrum nigrum,Etheostoma nigrum eulepis,Etheostoma blennioides blennioides,Etheostoma zonale zonale,Etheostoma variatum,Etheostoma maculatum,Etheostoma camurum,Ehteostoma tippecanoe,Etheostoma exile,Etheostoma caeruleum,Etheostoma spectabile spectabile,Etheostoma flabellare flabellare,Etheostoma microperca,Aplodinotus grunniens,Cottus ricei,Cottus bairdi bairdi,Cottus bairdi kumleini
Maumee River,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0
Tenmile Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Portage River,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Sandusky River,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1
"Lowland Huron, Vermilion, & Black ",1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1
Upland Black River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Lowland Cuyahoga River,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Upland Cuyahoga River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Lowland Grand and Ashtabula Rivers ,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1
Upland Grand and Ashtabula Rivers ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
