,Ichthyomyzon_bdellium,Ichthyomyzon_castaneus,Ichthyomyzon_fossor,Ichthyomyzon_unicuspis,Lampetra_aepyptera,Lampetra_lamottei,Petromyzon_marinus,Acipenser_fulvescens,Scaphirhynchus_albus,Scaphirhynchus_platorynchus,Polyodon_spathula,Lepisosteus_oculatus,Lepistodteus_osseus,Lepistosteus_platostomus,Lepistosteus_spatula,Amia_calva,Anguilla_rostrata,Alosa_alabanae,Alosa_chrysochloris,Alosa_pseudoharengus,Dorosoma_cepedianum,Dorosoma_petenense,Hiodon_alosoides,Hiodon_tergisus,Coregonus_artedii,Coregonus_clupeaformis,Coregonus_hoyi,Salvelinus_fotinalis,Salvelinus_namaycush,Salmo_gairdneri,Salmo_trutta,Oncorhynchus_kisutch,Osmerus_mordax,Umbra_limi,Esox_americanus,Esox_lucius,Esox_masquinongy,Carassius_auratus,Cyprinus_carpio,Ctenpharygodon_idella,Notemigonus_crysoleucuas,Semotilus_atromaculatus,Couesius_plumbeus,Nocomis_biguttatus,Nocomis_micropogon,Hybopsis_aestivalis,Hybopsis_amblops,Hybopsis_gelida,Hybopsis_gracilis,Hybopsis_meeki,Hybopsis_storeriana,Hybopsis_x-punctata,Rhinichthys_atratulus,Rhinichthys_cataractae,Phenacobius_mirabilis,Notropis_amnis,Notropis_anogenus,Notropis_ardens,Notropis_atherinoides,Notropis_blennius,Notopis_boops,Notropis_buchanani,Notropis_chalybaeus,Notropis_chrsocephalus,Notropis_cornutus,Notropis_dorsalis,Notropis_emiliae,Notropis_fumeus,Notropis_heterodon,Notropis_heterolepis,Notropis_hubbsi,Notropis_hudsonius,Notropis_lutrensis,Notropis_rubellus,Notropis_shumardi,Notropis_spilopterus,Notropis_stramineus,Notropis_texanus,Notropis_umbratilis,Notropis_venustus,Notropis_volucellus,Notropis_whipplei,Ericymba_buccata,Phoxinus_erythrpgaster,Dionda_mubila,Hybognathus_argritis,Hybognathus_hankinsoni,Hybognathus_hayi,Hybognathus_nuchalis,Hybognatus_placitus,Pimephales_notatus,Pimephales_promelas,Pimephales_vigilax,Campostoma_anomalum,Campostoma_oligolepis,Cycleptus_elongatus,Ictiobus_bubalus,Ictiobus_cyprinellus,Ictiobus_niger,Carpiodes_carpio,Carpiodes_cyprinus,Carpiodes_velifer,Moxostoma_anisurum,Moxostoma_carinatum,Moxostomaduquesnei,Moxostoma_erythrurum,Moxostoma_macrolepidotum,Moxostoma_valenciennesi,Hypentelium_nigricans,Catostomus_catostomus,Catostomus_commersoni,Minytrema_melanops,Erimyzon_oblongus,Erimyzon_sucetta,Ictalurus_catus,Ictalurus_furcatus,Ictalurus_melas,Ictalurus_natalis,Ictalurus_nebulosus,Ictalurus_punctatus,Pylodictis_olivaris,Noturus_eleutherus,Noturus_exilis,Noturus_flavus,Noturus_gyrinus,Noturus_miurus,Noturus_nocturnus,Noturus_stigmosus,Chologaster_agassizi,Aphredoderus_sayanus,Percopsis_omiscomaycus,Lota_lota,Fundulus_catenatus,Fundulus_diaphanus,Fundulus_dispar,Fundulus_notatus,Fundulus_olivaceus,Gambusia_affinis,Labidesthes_sicculus,Culaea_inconstans,Pungitius_pungitius,Myoxocephalus_quadricornis,Cottus_bairdi,Cottus_carolinae,Cottus_cognatus,Cottus_ricei,Morone_chrysops,Morone_mississippiensis,Morone_saxatilis,Micropterus_dolomieui,Micropterus_punctulatus,Micropterus_salmoides,Lepomis_cyanellus,Lepomis_gibbosus,Lepomis_gulosus,Lepomis_humilis,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_microlophus,Lepomis_punctatus,Lepomis_symmetricus,Ambloplites_rupestris,Pomoxis_annularis,Pomoxis_nigromaculatus,Centrarchus_mactopterus,Elassoma_zonatum,Stizostedion_canadense,Stizostedion_vitreum,Perca_flavescens,Percina_caprodes,Percina_evides,Percina_maculata,Percina_phoxocephala,Percina_sciera,Percina_shumardi,Percina_uranidea,Ammocrypta_asprella,Ammocrypta_clara,Ammocrypta_pellucida,Etheostoma_asprigene,Etheostoma_blennioides,Etheostoma_caeruleum,Etheostoma_camurum,Etheostoma_chlorosomum,Etheostoma_exile,Etheostoma_flabellare,Etheostoma_gracile,Etheostoma_histrio,Etheostoma_kennicotti,Etheostoma_microperca,Etheostoma_nigrum,Etheostoma_proeliare,Etheostoma_spectabile,Etheostoma_aquamiceps,Etheostoma_zonale,Aplodinotus_grunniens
Big_Muddy,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1
Cache,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
Ohio,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1
Saline,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
Little_Wabash,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1
Wabash,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1
Embarras,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1
Kaskaskia,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1
Macoupin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mississippi,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1
