,Ichthyomyzon bdellium,Ichthyomyzon fossor,Ichthyomyzon greeleyi,Ichthyomyzon unicuspis,Lethenteron appendix,Petromyzon marinus,Acipenser brevirostrum,Acipenser fulvescens,Acipenser oxyrinchus,Polyodon spathula,Lepisosteus osseus,Amia calva,Hiodon tergisus,Anguilla rostrata,Anchoa mitchilli,Alosa aestivalis,Alosa mediocris,Alosa pseudoharengus,Alosa sapidissima,Dorosoma cepedianum,Campostoma anomalum,Chrosomus eos,Chrosomus neogaeus,Clinostomus elongatus,Couesius plumbeus,Cyprinella analostana,Cyprinella spiloptera,Erimystax dissimilis,"Erimystax
x-punctatus",Exoglossum laurae,Exoglossum maxillingua,Hybognathus hankinsoni,Hybognathus regis,Hybopsis amblops,Luxilus chrysocephalus,Luxilus cornutus,Lythrurus umbratilis,Macrhybopsis storeriana,Margariscus margarita,Margariscus nachtreibi,Nocomis biguttatus,Nocomis micropogon,Notemigonus crysoleucas,Notropis amoenus,Notropis anogenus,Notropis atherinoides,Notropis bifrenatus,Notropis buccatus,Notropis chalybaeus,Notropis dorsalis,Notropis heterodon,Notropis heterolepis,Notropis hudsonius,Notropis photogenis,Notropis procne,Notorpis rubellus,Notropis stramineus,Notropis volucellus,Pimephales notatus,Pimephales promelas,Rhinichthys atratulus,Rhinichthys cataractae,Rhinichthys obtusus,Semotilus atromaculatus,Semotilus corporalis,Carpiodes cyprinus,Catostomus catostomus,Catostomus commersonii,Catostomus utawana,"Catostomus sp. cf.
utawana",Erimyzon oblongus,Erimyzon sucetta,Hypentelium nigricans,Ictiobus cyprinellus,Minytrema melanops,Moxostoma anisurum,Moxostoma breviceps,Moxostoma carinatum,Moxostoma duquesnei,Moxostoma erythrurum,Moxostoma macrolepidotum,Moxostoma valenciennesi,Ameiurus catus,Ameiurus melas,Ameiurus natalis,Ameiurus nebulosus,Ictalurus punctatus,Noturus flavus,Noturus gyrinus,Noturus insignis,Noturus miurus,Osmerus mordax,Coregonus artedi,Coregonus clupeaformis,Coregonus kiyi,Prosopium cylindraceum,Salmo salar,Salvelinus fontinalis,Salvelinus namaycush,Esox americanus americanus,Esox americanus vermiculatus,Esox lucius,Esox masquinongy,Esox niger,Umbra limi,Umbra pygmaea,Percopsis omiscomaycus,Aphredoderus sayanus,Lota lota,Microgadus tomcod,Labidesthes sicculus,Fundulus diaphanus,Fundulus heteroclitus,Gambusia affinis,Apeltes quadracus,Culaea inconstans,Gasterosteus aculeatus,Pungitius pungitius,Cottus bairdii,Cottus cognatus,Morone americana,Morone chrysops,Morone saxatilis,Acantharchus pomotis,Ambloplites rupestris,Enneacanthus gloriosus,Enneacanthus obesus,Lepomis auritus,Lepomis cyanellus,Lepomis gibbosus,Lepomis macrochirus,Lepomis peltastes,Micropterus dolomieu,Micropterus salmoides,Pomoxis annularis,Pomoxis nigromaculatus,Ammocrypta pellucida,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma camurum,Etheostoma exile,Etheostoma flabellare,Etheostoma fusiforme,Etheostoma maculatum,Etheostoma nigrum,Etheostoma olmstedi,Etheostoma variatum,Etheostoma zonale,Perca flavescens,Percina caprodes,Percina copelandi,Percina evides,Percina macrocephala,Percina maculata,Percina peltata,Sander canadensis,Sander vitreum,Aplodinotus grunniens
Allegheny,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
Erie-Niagara,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1
Ontario,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1
Genesee,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1
Oswego,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1
Black,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
Saint Lawrence,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
Oswegatchie,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1
Raquette,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1
Champlain,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1
