,Cumberlandia monodonta,Actinonaias ligamentina,Actinonaias pectorosa,Alasmidonta atropurpurea,Alasmidonta marginata,Alasmidonta raveneliana,Alamidonta viridis,Amblema plicata,Anodonta suborbiculata,Anodontoides ferussacianus,Arcidens confragosus,Cyclonaias tuberculata,Cyprogenia stegaria,Dromus dromas,Ellipsaria lineolata,Elliptio arca,Elliptio arctata,Elliptio crassidens,Elliptio dilatata,Epioblasma arcaeformis,Epioblasma biemarginata,Epioblasma brevidens,Epioblasma capsaeformis,Epioblasma flexuosa ,Epioblasma florentina,Epioblasma haysiana,Epioblasma lenior,Epioblasma lewisii,Epioblasma metastriata,Epioblasma obliquata,Epioblasma othcaloogensis,Epioblasma personata,Epioblasma propinqua,Epioblasma stewardsonii,Epioblasma torulosa torulosa,Epioblasma triquetra,Epioblasma turgidula,Fusconaia barnesiana,Fusconaia cor,Fusconaia cuneolus,Fusconaia ebena,Fusconaia flava,Fusconaia subrotunda,Hemistena lata,Lampsilis abrupta,Lampsilis altilis,Lampsilis cardium,Lampsilis fasciola,Lampsilis ornata,Lampsilis ovata,Lampsilis siliquoidea,Lampsilis straminea claibornensis,Lampsilis teres,Lampsilis virescens,Lasmigona complanata,Lasmigona costata,Lasmigona holstonia,Lasmigona subviridis,Lemiox rimosus,Leptodea fragilis,Leptodea leptodon,Lexingtonia dolabelloides,Ligumia recta,Ligumia subrostrata,Medionidus acutissimus,Medionidus conradicus,Medionidus parvulus,Megalonaias nervosa,Obliquaria reflexa,Obovaria jacksoniana,Obovaria olivaria,Obovaria retusa,Obovaria subrotunda,Pegias fabula,Plectomerus dombeyanus,Plethobasus cicatricosus,Plethobasus cooperianus,Plethobasus cyphyus,Pleurobema chattanoogaense,Pleurobema clava,Pleurobema cordatum,Pleurobema georgianum,Pleurobema gibberum,Pleurobema honleyanum,Pleurobema johannis,Pleurobema oviforme,Pleurobema perovatum,Pleurobema plenum,Pleurobema rubellum,Pleurobema rubrum,Pleurobema sintixia,Pleurobema troschelianum,Potamilus alatus,Potamilus ohiensis,Potamilus purpuratus,Ptychobranchus fasciolaris,Ptychobranchus greeni,Ptychobranchus subtentum,Pyganodon grandis,Quadrula apiculata,Quadrula cylindrica,Quadrula fragosa,Quadrula intermedia,Quadrula metanevra,Quadrula nodulata,Quadrula pustulosa ,Quadrula quadrula,Quadrula sparsa,Simpsonaias ambigua,Strophitus connasaugaensis,Strophitus undulatus,Toxolasma cylindrellus,Toxolasma lividus,Toxolasma parvus,Toxolasma texasensis,Tritogonia verrucosa,Truncilla donaciformis,Truncilla truncata,Uniomerus declivis,Uniomerus tetralasmus,Utterbackia imbecillis,Villosa iris,Villosa lienosa,Villosa perpurpurea,Villosa taeniata,Villosa trabalis,Villosa vanuxemensis,Villosa vibex
Mississippi River ,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1
Big Sandy River,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lower Tennessee,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0
Cumberland River,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0
Duck River,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0
Buffulo River,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
Shoal Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Elk River,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0
Upper Tennessee,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0
Conasauga River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
