"","area","lat","long"
"Acipenser brevirostrum",29,42,-82
"Acipenser fulvescens",92,45,-88
"Acipenser medirostris",7,42,-124
"Acipenser oxyrhynchus",71,31,-77
"Acipenser transmontanus",16,46,-122
"Acrocheilus Alutaceus",32,47,-118
"Agosia Chrysogaster",21,35,-110
"Alosa aestivalis",44,42,-76
"Alosa alabamae",41,31,-90
"Alosa chrysochloris",104,40,-92
"Alosa mediocris",37,38,-77
"Alosa pseudohorengus",87,42,-77
"Alosa sapidissima",97,40,-78
"Amblyopsis rosae",5,37,-94
"Amblyopsis spelaea",3,39,-86
"Amia calva",349,35,-96
"Ammocrypta beani",20,33,-88
"Ammocrypta bifascia",7,31,-86
"Ammocrypta clara",46,42,-90
"Ammocrypta meridiana",9,33,-88
"Ammocrypta pellucida",49,40,-82
"Ammocrypta vivax",40,34,-90
"Anchoa mitchilli",60,30,-81
"Anguilla rostrata",477,43,-82
"Aphredoderus sayanus",163,32,-88
"Arius felis",23,30,-81
"Astyanax mexicanus",41,30,-98
"Atractosteus spatula",51,31,-91
"Campostoma Oligolepis",43,44,-91
"Campostoma Ornatum",6,30,-105
"Carcharhinus leucas",19,31,-80
"Carpiodes carpio",208,38,-98
"Carpiodes cyprinus",138,42,-91
"Catostomus ardens",15,43,-112
"Catostomus bernardini",1,32,-110
"Catostomus catostomus",129,48,-87
"Catostomus clarki",16,34,-112
"Catostomus columbianus",38,46,-118
"Catostomus discobolus",32,42,-112
"Catostomus fecundus",1,41,-112
"Catostomus fumeiventris",4,37,-119
"Catostomus insifnis",10,34,-110
"Catostomus latipinnis",25,38,-110
"Catostomus luxatus",3,42,-122
"Catostomus macrocheilus",50,47,-117
"Catostomus microps",2,42,-122
"Catostomus occidentalis",21,39,-122
"Catostomus platyrhynchus",83,45,-112
"Catostomus plebeius",7,36,-107
"Catostomus rimiculus",8,43,-124
"Catostomus santannaae",4,35,-118
"Catostomus snyderi",2,43,-122
"Catostomus tahoensis",15,40,-120
"Catostomus warnerensis",2,43,-120
"Chasmistes brevirostris",2,42,-122
"Chasmistes cujus",1,41,-120
"Chasmistes liorus",1,41,-113
"Chologaster agassizi",7,38,-86
"Chologaster cornuta",19,35,-78
"Clinostomus Elongatus",38,43,-80
