x	y
28.633	36.955
27.974	51.975
2.063	0.020
43.637	35.878
41.649	50.989
56.936	41.887
55.154	44.968
70.226	31.976
68.905	47.993
83.736	34.916
83.738	38.918
96.720	27.926
97.323	43.028
111.419	30.955
112.018	39.966
126.118	33.893
126.045	34.861
139.031	29.935
139.629	36.882
154.170	20.002
153.000	42.924
168.942	21.925
169.471	36.961
196.041	37.015
195.971	43.977
210.665	36.894
210.667	39.927
237.109	37.964
237.706	42.921
252.472	32.923
252.404	43.923
265.386	32.964
267.099	39.947
281.200	34.843
280.540	37.913
294.569	35.878
294.049	36.879
308.077	33.936
308.079	37.984
322.321	34.940
320.993	36.882
336.870	19.955
335.270	49.993
351.358	27.934
351.364	39.773
363.754	32.889
364.416	34.900
379.640	31.961
379.046	33.957
392.554	31.944
392.555	32.864
405.604	21.936
405.614	41.870
421.040	29.894
421.040	30.910
434.618	21.879
434.178	36.904
447.320	23.888
447.852	32.887
462.165	24.928
462.688	29.799
475.599	22.984
475.676	29.828
489.396	24.896
489.396	25.870
503.953	23.915
502.831	24.851
515.602	17.945
515.465	24.928
545.290	28.977
545.223	41.852
558.659	30.948
559.705	38.900
574.086	19.855
572.317	46.968
587.144	27.911
586.702	37.982
602.363	27.867
602.962	36.927
615.805	27.923
615.808	33.945
629.240	26.889
629.764	33.943
642.012	22.984
644.322	34.845
657.899	24.956
656.714	32.876
670.292	22.909
670.677	32.920
684.461	23.003
684.467	32.842
698.926	24.931
698.996	29.835
712.506	20.876
712.512	31.920
726.537	21.988
726.988	28.924
738.790	21.976
738.793	26.911
755.197	22.919
755.125	24.914
767.964	21.911
767.966	23.879
797.142	14.976
797.084	31.921
809.990	15.916
811.112	27.862
824.616	18.859
824.616	19.870
837.458	7.862
838.123	15.840
851.106	6.902
851.775	8.843
880.126	17.871
880.055	21.865
892.378	14.928
893.560	15.858
906.481	13.984
906.481	14.910
920.579	4.928
919.845	17.870
936.394	8.936
936.394	9.867
948.712	4.852
948.575	11.874
963.193	0.096
963.197	7.785
