,Ichthyomyzon_bdellium,Ichthyomyzon_castaneus,Ichthyomyzon_greeleyi,Lampetra_aepyptera,Lampetra_appendix,Petromyzon_marinus,Acipenser_brevirostrum,Acipenser_fulvescens,Acipenser_oxyrinchus,Polyodon_spathula,Lepisosteus_osseus,Amia_calva,Hiodon_tergisus,Anguilla_rostrata,Alosa_aestivalis,Alosa_mediocris,Alosa_pseudoharengus,Alosa_sapidissima,Dorosoma_cepedianum,Dorosoma_petenense,Campostoma_anomalum,Carassius_auratus,Chrosomus_oreas,Clinostomus_funduloides,Clinostomus_sp_cf_funduloides,Ctenopharyngodon_idella,Cyprinella_analostana,Cyprinella_chloristia,Cyprinella_galactura,Cyprinella_labrosa,Cyprinella_lutrensis,Cyprinella_nivea,Cyprinella_pyrrhomelas,Cyprinella_spiloptera,Cyprinella_zanema,Cyprinella_sp_cf_zanema,Cyprinus_carpio,Erimonax_monachus,Erimystax_insignis,Exoglossum_laurae,Exoglossum_maxillingua,Hybognathus_regius,Hybopsis_amblops,Hybopsis_hypsinotus,Hybopsis_rubrifrons,Luxilus_albeolus,Luxilus_cerasinus,Luxilus_chrysocephalus,Luxilus_coccogenis,Lythrurus_ardens,Lythrurus_matutinus,Nocomis_leptocephalus,Nocomis_micropogon,Nocomis_platyrhynchus,Nocomis_raneyi,Notemigonus_crysoleucas,Notropis_alborus,Notropis_altipinnis,Notropis_amoenus,Notropis_bifrenatus,Notropis_chalybaeus,Notropis_chiliticus,Notropis_chlorocephalus,Notropis_cummingsae,Notropis_hudsonius,Notropis_leuciodus,Notropis_lutipinnis,Notropis_maculatus,Notropis_mekistocholas,Notropis_micropteryx,Notropis_petersoni,Notropis_photogenis,Notropis_procne,Notropis_rubricroceus,Notropis_scabriceps,Notropis_scepticus,Notropis_spectrunculus,Notropis_telescopus,Notropis_volucellus,Notropis_sp_cf_chlorocephalus,Notropis_sp_cf_rubellus,Phenacobius_crassilabrum,Phenacobius_teretulus,Pimephales_notatus,Pimephales_promelas,Rhinichthys_cataractae,Rhinichthys_obtusus,Semotilus_atromaculatus,Semotilus_lumbee,Carpiodes_carpio,Carpiodes_cyprinus,Carpiodes_velifer,Carpiodes_sp_cf_cyprinus,Carpiodes_sp_cf_velifer,Catostomus_commersonii,Erimyzon_oblongus,Erimyzon_sucetta,Hypentelium_nigricans,Hypentelium_roanokense,Ictiobus_bubalus,Ictiobus_cyprinellus,Ictiobus_niger,Minytrema_melanops,Moxostoma_anisurum,Moxostoma_breviceps,Moxostoma_carinatum,Moxostoma_collapsum,Moxostoma_duquesnei,Moxostoma_erythrurum,Moxostoma_macrolepidotum,Moxostoma_pappillosum,Moxostoma_robustum,Moxostoma_sp_cf_erythrurum,Moxostoma_sp_cf_carinatum,Scartomyzon_ariommus,Scartomyzon_cervinus,Scartomyzon_rupiscartes,Scartomyzon_sp_cf_lachneri,Thoburnia_hamiltoni,Ameiurus_brunneus,Ameiurus_catus,Ameiurus_melas,Ameiurus_natalis,Ameiurus_nebulosus,Ameiurus_platycephalus,Ictalurus_furcatus,Ictalurus_punctatus,Noturus_eleutherus,Noturus_flavus,Noturus_furiosus,Noturus_gilberti,Noturus_gyrinus,Noturus_insignis,Noturus_sp_cf_leptacanthus,Pylodictis_olivaris,Pterygoplichthys_pardalis,Esox_americanus,Esox_masquinongy,Esox_niger,Umbra_pygmaea,Oncorhynchus_mykiss,Oncorhynchus_nerka,Salmo_trutta,Salvelinus_fontinalis,Aphredoderus_sayanus,Chologaster_cornuta,Labidesthes_sicculus,Labidesthes_vanhyningi,Menidia_beryllina,Menidia_extensa,Fundulus_chrysotus,Fundulus_diaphanus,Fundulus_lineolatus,Fundulus_rathbuni,Fundulus_waccamensis,Fundulus_sp_cf_diaphanus,Lucania_goodei,Gambusia_affinis,Gambusia_holbrooki,Heterandria_formosa,Cottus_bairdii,Cottus_carolinae,Cottus_caeruleomentum,Morone_americana,Morone_chrysops,Morone_saxatilis,Acantharchus_pomotis,Ambloplites_cavifrons,Ambloplites_rupestris,Centrarchus_macropterus,Enneacanthus_chaetodon,Enneacanthus_gloriosus,Enneacanthus_obesus,Lepomis_auritus,Lepomis_cyanellus,Lepomis_gibbosus,Lepomis_gulosus,Lepomis_macrochirus,Lepomis_marginatus,Lepomis_megalotis,Lepomis_microlophus,Lepomis_punctatus,Micropterus_coosae,Micropterus_dolomieu,Micropterus_punctulatus,Micropterus_salmoides,Pomoxis_annularis,Pomoxis_nigromaculatus,Etheostoma_acuticeps,Etheostoma_blennioides,Etheostoma_brevispinum,Etheostoma_chlorobranchium,Etheostoma_collis,Etheostoma_flabellare,Etheostoma_fusiforme,Etheostoma_gutselli,Etheostoma_inscriptum,Etheostoma_jessiae,Etheostoma_kanawhae,Etheostoma_mariae,Etheostoma_nigrum,Etheostoma_olmstedi,Etheostoma_perlongum,Etheostoma_podostemone,Etheostoma_rufilineatum,Etheostoma_serrifer,Etheostoma_swannanoa,Etheostoma_tennesseense,Etheostoma_thalassinum,Etheostoma_vitreum,Etheostoma_vulneratum,Etheostoma_zonale,Perca_flavescens,Percina_aurantiaca,Percina_burtoni,Percina_caprodes,Percina_crassa,Percina_evides,Percina_gymnocephala,Percina_nevisense,Percina_nigrofasciata,Percina_oxyrhynchus,Percina_rex,Percina_roanoka,Percina_squamata,Percina_williamsi,Sander_canadensis,Sander_vitreus,Aplodinotus_grunniens,Elassoma_evergladei,Elassoma_zonatum,Elassoma_boehlkei
Hiwassee,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Little_Tennessee,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
French_Broad,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Watauga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Savannah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Broad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Catawba,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Yadkin,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Roanoke,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
