,Ichthyomyzon bdellium,Ichthyomyzon greeleyi,Petromyzon marinus,Lampetra appendix,Lampetra aepyptera,Acipenser brevirostrum,Acipenser oxyrhynchus,Polyodon spathula,Lepisosteus osseus,Amia clava,Anguilla rostrata,Dorosoma cepedianum,Dorosoma petenense,Alosa aestivalis,Alosa pseudoharengus,Alosa mediocris,Alosa sapidissima,Esox lucius,Esox masquinongy,Esox niger,Esox americanus,Umbra pygmaea,Cyprinus carpio ,Carassius auratus,Ctenopharyngodon idella,Notemigonus crysoleucus,Phoxinus tennesseensis,Phoxinus oreas,Clinostomus funduloides,Rhinichtheys cataractae,Rhinichtheys atratulus,Campostoma anamalum,Margariscus margarita,Semotilus corporalis,Semotilus atromaculatus,Exoglossum laurae,Exoglossum maxillingua,Nocomis playtyrhynchus,Nocomis micropogon,Nocomis raneyi,Nocomis leptocephalus,Erimystax cahni,Erimystax dissimilis,Erimystax insignis,Phenacobius mirabilis,Phenacobius teretulus,Phenacobius crassilabrum,Phenacobius uranops,Hybopsis amblops,Hybopsis hypsinotus,Cyprinella monacha,Cyprinella galactura,Cyprinella whipplei,Cyprinella analostana,Cyprinella spilotera,Luxilus coccogenis,Luxilus cerasinus,Luxilus albeolus,Luxilus cornutus,Luxilus chrysocephalus,Lythrurus lirus,Lythrurus ardens,Notropis rubellus,Notropis leuciodus,Notropis rubricroceus,Notropis chiliticus,Notropis atherinoides,Notropis amoenus,Notropis photogenis,Notropis semperasper,Notropis ariommus,Notropis telescopus,Notropis hudsontus,Notropis scrabriceps,Notropis volucellus,Notropis sp. (sawfin shiner),Notropis spectrunculus,Notropis stramineus,Notropis procne,Notopis alborus,Notropis bifrenatus,Notropis chalybaeus,Notropis altipinnis,Notropis buccatus,Hybognathus regius,Pimephales promelas,Pimephales vigilax,Pimephales notatus,Carpiodes cyprinus,Erimyzon sucetta ,Erimyzon oblongus,Hypentelium nigricans,Hypentelium roanokense,Thoburnia rhothoeca,Thoburnia hamiltoni,Scartomyzon robustus,Scartomyzon cervinus,Scartomyzon ariommus,Moxostoma duquesnei,Moxostoma macrolepidotum,Moxostoma erythrurum,Moxostoma carinatum,Moxostoma anisurum,Moxostoma pappillosum,Catostomus commersoni,Ictalurus furcatus,Ictalurus punctatus,Ameiurus catus,Ameiurus platycephalus,Ameiurus brunneus,Ameiurus natalis,Ameiurus nebulosus,Ameiurus melas,Noturus flavus,Noturus gilberti,Noturus insignis,Noturus gyrinus,Noturus flavipinnis,Noturus eleutherus,Pylodictis olivaris,Salvelinus fontinalis,Salmo trutta,Oncorhynchus mykiss,Percopsis omiscomaycus,Aphredoderus sayanus,Chologaster cornuta,Labidesthes sicculus,Fundulus diaphanus,Fundulus rathbuni,Fundulus catenatus,Fundulus lineolatus,Gambusia holbrooki,Cottus bairdi,Cottus baileyi,Cottus cognatus,Cottus sp. (Holston Sculpin),Cottus sp. (Clinch Sculpin),Cottus sp. (Bluestone Sculpin),Cottus carolinae,Cottus girardi,Morone americana,Morone saxatilis,Morone chrysops,Ambloplites rupestris,Ambloplites cavifrons,Acantharchus pomotis,Centrarchus macropterus,Pomoxis nigromaculatus,Pomoxis annularis,Enneacanthus obesus,Enneacanthus gloriosus,Enneacanthus chaetodon,Micropterus dolomieu,Micropterus punctulatus,Micropterus salmoides,Lepomis gulosus,Lepomis cyanellus,Lepomis auritus,Lepomis megalotis,Lepomis macrochirus,Lepomis gibbosus,Lepomis microlophus,Ammocrypta clara,Ehteostoma camurum,Etheostoma acuticeps,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma chlorobrnchium,Etheostoma cinereum,Etheostoma collis,Etheostoma flabellare,Etheostoma fusiforme,Etheostoma longimanum,Etheostoma nigrum,Etheostoma olmstedi,Etheostoma osburni,Etheostoma percnurum,Etheostoma podostemone,Etheostoma rufilineatum,Etheostoma serrifer,Etheostoma simoterum,Etheostoma stigmaeum,Etheostoma swannanoa,Etheostoma tippecanoe,Etheostoma variatum,Etheostoma vitreum,Etheostoma vulneratum,Etheostoma zonale,Ethestoma kanawhae,Perca flavescens,Percina aurantiaca,Percina burtoni,Percina caprodes,Percina copelandi,Percina crassa,Percina gymnocephala,Percina maculata,Percina notogramma,Percina oxyrhynchus,Percina peltata,Percina rex,Percina roanoka,Percina sciera,Percina williamsi,Pericna evides,Stizostedion canadense,Stizostedion vitreum,Aplodinotus grunniens
Upper Potomac,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Lower Potomac,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Upper Rappahannock,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Lower Rappahannock,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper York,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Lower York,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Upper James,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Lower James,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Upper Chowan,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
Lower Chowan,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
